trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint
1_TRIP1,46:00:00,46:00:00,109,41,0,0,1
1_TRIP1,47:00:00,47:00:00,110,42,0,0,1
1_TRIP1,48:00:00,48:00:00,115,43,0,0,1
1_TRIP1,49:00:00,49:00:00,116,44,0,0,1
1_TRIP1,50:00:00,50:00:00,120,45,0,0,1
1_TRIP1,51:00:00,51:00:00,121,46,0,0,1
1_TRIP1,52:00:00,52:00:00,122,47,0,0,1
1_TRIP1,53:00:00,53:00:00,124,48,0,0,1
1_TRIP1,54:00:00,54:00:00,127,49,0,0,1
2_TRIP1,06:00:00,06:00:00,1,1,0,0,1
2_TRIP1,07:00:00,07:00:00,2,2,0,0,1
2_TRIP1,08:00:00,08:00:00,3,3,0,0,1
2_TRIP1,09:00:00,09:00:00,4,4,0,0,1
2_TRIP1,10:00:00,10:00:00,5,5,0,0,1
2_TRIP1,11:00:00,11:00:00,6,6,0,0,1
2_TRIP1,12:00:00,12:00:00,7,7,0,0,1
2_TRIP1,13:00:00,13:00:00,10,8,0,0,1
2_TRIP1,14:00:00,14:00:00,11,9,0,0,1
2_TRIP1,15:00:00,15:00:00,13,10,0,0,1
2_TRIP1,16:00:00,16:00:00,14,11,0,0,1
2_TRIP1,17:00:00,17:00:00,15,12,0,0,1
2_TRIP1,18:00:00,18:00:00,16,13,0,0,1
2_TRIP1,19:00:00,19:00:00,17,14,0,0,1
2_TRIP1,20:00:00,20:00:00,18,15,0,0,1
2_TRIP1,21:00:00,21:00:00,19,16,0,0,1
2_TRIP1,22:00:00,22:00:00,30,17,0,0,1
2_TRIP1,23:00:00,23:00:00,31,18,0,0,1
2_TRIP1,24:00:00,24:00:00,32,19,0,0,1
2_TRIP1,25:00:00,25:00:00,33,20,0,0,1
2_TRIP1,26:00:00,26:00:00,34,21,0,0,1
2_TRIP1,27:00:00,27:00:00,35,22,0,0,1
2_TRIP1,28:00:00,28:00:00,36,23,0,0,1
2_TRIP1,29:00:00,29:00:00,37,24,0,0,1
2_TRIP1,30:00:00,30:00:00,38,25,0,0,1
2_TRIP1,31:00:00,31:00:00,39,26,0,0,1
2_TRIP1,32:00:00,32:00:00,40,27,0,0,1
2_TRIP1,33:00:00,33:00:00,41,28,0,0,1
2_TRIP1,34:00:00,34:00:00,42,29,0,0,1
2_TRIP1,35:00:00,35:00:00,43,30,0,0,1
2_TRIP1,36:00:00,36:00:00,44,31,0,0,1
2_TRIP1,37:00:00,37:00:00,45,32,0,0,1
2_TRIP1,38:00:00,38:00:00,46,33,0,0,1
2_TRIP1,39:00:00,39:00:00,47,34,0,0,1
2_TRIP1,40:00:00,40:00:00,48,35,0,0,1
2_TRIP1,41:00:00,41:00:00,49,36,0,0,1
2_TRIP1,42:00:00,42:00:00,50,37,0,0,1
2_TRIP1,43:00:00,43:00:00,51,38,0,0,1
2_TRIP1,44:00:00,44:00:00,52,39,0,0,1
2_TRIP1,45:00:00,45:00:00,53,40,0,0,1
2_TRIP1,46:00:00,46:00:00,54,41,0,0,1
2_TRIP1,47:00:00,47:00:00,55,42,0,0,1
2_TRIP1,48:00:00,48:00:00,56,43,0,0,1
2_TRIP1,49:00:00,49:00:00,57,44,0,0,1
2_TRIP1,50:00:00,50:00:00,58,45,0,0,1
2_TRIP1,51:00:00,51:00:00,59,46,0,0,1
2_TRIP1,52:00:00,52:00:00,60,47,0,0,1
2_TRIP1,53:00:00,53:00:00,62,48,0,0,1
2_TRIP1,54:00:00,54:00:00,63,49,0,0,1
2_TRIP1,55:00:00,55:00:00,71,50,0,0,1
2_TRIP1,56:00:00,56:00:00,72,51,0,0,1
2_TRIP1,57:00:00,57:00:00,73,52,0,0,1
2_TRIP1,58:00:00,58:00:00,74,53,0,0,1
2_TRIP1,59:00:00,59:00:00,75,54,0,0,1
2_TRIP1,60:00:00,60:00:00,97,55,0,0,1
2_TRIP1,61:00:00,61:00:00,106,56,0,0,1
2_TRIP1,62:00:00,62:00:00,107,57,0,0,1
2_TRIP1,63:00:00,63:00:00,108,58,0,0,1
2_TRIP1,64:00:00,64:00:00,109,59,0,0,1
2_TRIP1,65:00:00,65:00:00,110,60,0,0,1
2_TRIP1,66:00:00,66:00:00,122,61,0,0,1
2_TRIP1,67:00:00,67:00:00,124,62,0,0,1
3_TRIP1,06:00:00,06:00:00,1,1,0,0,1
3_TRIP1,07:00:00,07:00:00,2,2,0,0,1
3_TRIP1,08:00:00,08:00:00,3,3,0,0,1
3_TRIP1,09:00:00,09:00:00,4,4,0,0,1
3_TRIP1,10:00:00,10:00:00,5,5,0,0,1
3_TRIP1,11:00:00,11:00:00,6,6,0,0,1
3_TRIP1,12:00:00,12:00:00,7,7,0,0,1
3_TRIP1,13:00:00,13:00:00,8,8,0,0,1
3_TRIP1,14:00:00,14:00:00,9,9,0,0,1
3_TRIP1,15:00:00,15:00:00,10,10,0,0,1
3_TRIP1,16:00:00,16:00:00,15,11,0,0,1
3_TRIP1,17:00:00,17:00:00,16,12,0,0,1
3_TRIP1,18:00:00,18:00:00,17,13,0,0,1
3_TRIP1,19:00:00,19:00:00,18,14,0,0,1
3_TRIP1,20:00:00,20:00:00,19,15,0,0,1
3_TRIP1,21:00:00,21:00:00,30,16,0,0,1
3_TRIP1,22:00:00,22:00:00,31,17,0,0,1
3_TRIP1,23:00:00,23:00:00,55,18,0,0,1
3_TRIP1,24:00:00,24:00:00,56,19,0,0,1
3_TRIP1,25:00:00,25:00:00,57,20,0,0,1
3_TRIP1,26:00:00,26:00:00,58,21,0,0,1
3_TRIP1,27:00:00,27:00:00,61,22,0,0,1
3_TRIP1,28:00:00,28:00:00,62,23,0,0,1
3_TRIP1,29:00:00,29:00:00,63,24,0,0,1
3_TRIP1,30:00:00,30:00:00,64,25,0,0,1
3_TRIP1,31:00:00,31:00:00,79,26,0,0,1
3_TRIP1,32:00:00,32:00:00,80,27,0,0,1
3_TRIP1,33:00:00,33:00:00,93,28,0,0,1
3_TRIP1,34:00:00,34:00:00,94,29,0,0,1
3_TRIP1,35:00:00,35:00:00,95,30,0,0,1
3_TRIP1,36:00:00,36:00:00,96,31,0,0,1
3_TRIP1,37:00:00,37:00:00,97,32,0,0,1
3_TRIP1,38:00:00,38:00:00,98,33,0,0,1
3_TRIP1,39:00:00,39:00:00,105,34,0,0,1
3_TRIP1,40:00:00,40:00:00,106,35,0,0,1
3_TRIP1,41:00:00,41:00:00,107,36,0,0,1
3_TRIP1,42:00:00,42:00:00,108,37,0,0,1
3_TRIP1,43:00:00,43:00:00,109,38,0,0,1
3_TRIP1,44:00:00,44:00:00,110,39,0,0,1
3_TRIP1,45:00:00,45:00:00,111,40,0,0,1
3_TRIP1,46:00:00,46:00:00,115,41,0,0,1
3_TRIP1,47:00:00,47:00:00,116,42,0,0,1
3_TRIP1,48:00:00,48:00:00,117,43,0,0,1
3_TRIP1,49:00:00,49:00:00,118,44,0,0,1
3_TRIP1,50:00:00,50:00:00,119,45,0,0,1
3_TRIP1,51:00:00,51:00:00,120,46,0,0,1
3_TRIP1,52:00:00,52:00:00,121,47,0,0,1
3_TRIP1,53:00:00,53:00:00,122,48,0,0,1
3_TRIP1,54:00:00,54:00:00,123,49,0,0,1
3_TRIP1,55:00:00,55:00:00,124,50,0,0,1
3_TRIP1,56:00:00,56:00:00,125,51,0,0,1
3_TRIP1,57:00:00,57:00:00,126,52,0,0,1
3_TRIP1,58:00:00,58:00:00,127,53,0,0,1
3_TRIP1,59:00:00,59:00:00,128,54,0,0,1
